"ngen","dataset","mean"
1,"SNVs + Indels (alpha=0.94)",109558516.586667
1,"SNVs + SVs + Indels (alpha=0.94)",109569039.68
1,"SNVs Only (alpha=0.94)",109564123.84
2,"SNVs + Indels (alpha=0.94)",111616642.56
2,"SNVs + SVs + Indels (alpha=0.94)",111694025.813333
2,"SNVs Only (alpha=0.94)",111489973.226667
3,"SNVs + Indels (alpha=0.94)",112654431.466667
3,"SNVs + SVs + Indels (alpha=0.94)",112753839.466667
3,"SNVs Only (alpha=0.94)",112461112
4,"SNVs + Indels (alpha=0.94)",113377168.32
4,"SNVs + SVs + Indels (alpha=0.94)",113489928.96
4,"SNVs Only (alpha=0.94)",113138361.066667
5,"SNVs + Indels (alpha=0.94)",113944811.52
5,"SNVs + SVs + Indels (alpha=0.94)",114067038.08
5,"SNVs Only (alpha=0.94)",113671156.906667
6,"SNVs + Indels (alpha=0.94)",114413912
6,"SNVs + SVs + Indels (alpha=0.94)",114543856.426667
6,"SNVs Only (alpha=0.94)",114111813.546667
7,"SNVs + Indels (alpha=0.94)",114813352.533333
7,"SNVs + SVs + Indels (alpha=0.94)",114949665.92
7,"SNVs Only (alpha=0.94)",114486533.546667
8,"SNVs + Indels (alpha=0.94)",115155055.36
8,"SNVs + SVs + Indels (alpha=0.94)",115296510.293333
8,"SNVs Only (alpha=0.94)",114807497.706667
9,"SNVs + Indels (alpha=0.94)",115470866.453333
9,"SNVs + SVs + Indels (alpha=0.94)",115617025.706667
9,"SNVs Only (alpha=0.94)",115103986.453333
10,"SNVs + Indels (alpha=0.94)",115763614.506667
10,"SNVs + SVs + Indels (alpha=0.94)",115914429.226667
10,"SNVs Only (alpha=0.94)",115379001.173333
11,"SNVs + Indels (alpha=0.94)",116010784.213333
11,"SNVs + SVs + Indels (alpha=0.94)",116165699.306667
11,"SNVs Only (alpha=0.94)",115611257.92
12,"SNVs + Indels (alpha=0.94)",116257180.906667
12,"SNVs + SVs + Indels (alpha=0.94)",116416260.053333
12,"SNVs Only (alpha=0.94)",115842984.96
13,"SNVs + Indels (alpha=0.94)",116465582.933333
13,"SNVs + SVs + Indels (alpha=0.94)",116628141.866667
13,"SNVs Only (alpha=0.94)",116039008.213333
14,"SNVs + Indels (alpha=0.94)",116681054.72
14,"SNVs + SVs + Indels (alpha=0.94)",116846735.466667
14,"SNVs Only (alpha=0.94)",116241613.333333
15,"SNVs + Indels (alpha=0.94)",116880882.666667
15,"SNVs + SVs + Indels (alpha=0.94)",117049799.466667
15,"SNVs Only (alpha=0.94)",116429372.586667
16,"SNVs + Indels (alpha=0.94)",117069484.8
16,"SNVs + SVs + Indels (alpha=0.94)",117241451.52
16,"SNVs Only (alpha=0.94)",116606757.226667
17,"SNVs + Indels (alpha=0.94)",117230444.693333
17,"SNVs + SVs + Indels (alpha=0.94)",117405197.653333
17,"SNVs Only (alpha=0.94)",116758256.32
18,"SNVs + Indels (alpha=0.94)",117393872.426667
18,"SNVs + SVs + Indels (alpha=0.94)",117571459.733333
18,"SNVs Only (alpha=0.94)",116912075.306667
