delta,ordering,kval,ngen,fastas
109263987.2,1,20,1,['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa']
111781760.0,1,20,2,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa']"
113089920.0,1,20,3,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.1.fa']"
114011801.6,1,20,4,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.1.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.2.fa']"
114546201.6,1,20,5,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.1.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.2.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.2.fa']"
115200908.8,1,20,6,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.1.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.2.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.2.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.1.fa']"
115715814.4,1,20,7,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.1.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.2.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.2.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.1.fa', '/data/blangme2/fasta/hprc-yr1/HG02818.1.fa']"
116180851.2,1,20,8,"['/data/blangme2/fasta/hprc-yr1/HG02818.2.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.1.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.1.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.2.fa', '/data/blangme2/fasta/hprc-yr1/HG00733.2.fa', '/data/blangme2/fasta/hprc-yr1/HG03486.1.fa', '/data/blangme2/fasta/hprc-yr1/HG02818.1.fa', '/data/blangme2/fasta/hprc-yr1/NA19240.2.fa']"
109355404.8,2,20,1,['/data/blangme2/fasta/hprc-yr1/HG00733.1.fa']
111806272.0,2,20,2,"['/data/blangme2/fasta/hprc-yr1/HG00733.1.fa', '/data/blangme2/fasta/hprc-yr1/HG02818.1.fa']"
