"ordering","ngen","delta","kval","dataset"
1,1,109279987.2,20,"Pangenome"
1,2,111802393.6,20,"Pangenome"
1,3,113084838.4,20,"Pangenome"
1,4,113997849.6,20,"Pangenome"
1,5,114742336,20,"Pangenome"
1,6,115338419.2,20,"Pangenome"
1,7,115841971.2,20,"Pangenome"
1,8,116280550.4,20,"Pangenome"
1,9,116675328,20,"Pangenome"
1,10,117055462.4,20,"Pangenome"
1,11,117326604.8,20,"Pangenome"
1,12,117619276.8,20,"Pangenome"
1,13,117903027.2,20,"Pangenome"
1,14,118112371.2,20,"Pangenome"
1,15,118309107.2,20,"Pangenome"
1,16,118569484.8,20,"Pangenome"
1,17,118811737.6,20,"Pangenome"
1,18,119047897.6,20,"Pangenome"
1,19,119203264,20,"Pangenome"
1,20,119417932.8,20,"Pangenome"
1,21,119561433.6,20,"Pangenome"
1,22,119787788.8,20,"Pangenome"
1,23,119980364.8,20,"Pangenome"
1,24,120092454.4,20,"Pangenome"
1,25,120179302.4,20,"Pangenome"
1,26,120300211.2,20,"Pangenome"
1,27,120396364.8,20,"Pangenome"
1,28,120496268.8,20,"Pangenome"
1,29,120666022.4,20,"Pangenome"
1,30,120757580.8,20,"Pangenome"
1,31,120849011.2,20,"Pangenome"
1,32,120924313.6,20,"Pangenome"
1,33,121104819.2,20,"Pangenome"
1,34,121271257.6,20,"Pangenome"
1,35,121357081.6,20,"Pangenome"
1,36,121414976,20,"Pangenome"
1,37,121497651.2,20,"Pangenome"
1,38,121672192,20,"Pangenome"
1,39,121812851.2,20,"Pangenome"
1,40,121972672,20,"Pangenome"
1,41,122112486.4,20,"Pangenome"
1,42,122185587.2,20,"Pangenome"
1,43,122315724.8,20,"Pangenome"
1,44,122453632,20,"Pangenome"
1,45,122573017.6,20,"Pangenome"
1,46,122689152,20,"Pangenome"
1,47,122759628.8,20,"Pangenome"
1,48,122880729.6,20,"Pangenome"
1,49,122956915.2,20,"Pangenome"
1,50,123076364.8,20,"Pangenome"
1,51,123200243.2,20,"Pangenome"
1,52,123266483.2,20,"Pangenome"
1,53,123389440,20,"Pangenome"
1,54,123518579.2,20,"Pangenome"
1,55,123576422.4,20,"Pangenome"
1,56,123683660.8,20,"Pangenome"
2,1,109285721.6,20,"Pangenome"
2,2,111295116.8,20,"Pangenome"
2,3,112339302.4,20,"Pangenome"
2,4,113536486.4,20,"Pangenome"
2,5,114030873.6,20,"Pangenome"
2,6,114360051.2,20,"Pangenome"
2,7,115103257.6,20,"Pangenome"
2,8,115647436.8,20,"Pangenome"
2,9,116141171.2,20,"Pangenome"
2,10,116584960,20,"Pangenome"
2,11,116960921.6,20,"Pangenome"
2,12,117309568,20,"Pangenome"
2,13,117489625.6,20,"Pangenome"
2,14,117664678.4,20,"Pangenome"
2,15,118013708.8,20,"Pangenome"
2,16,118155788.8,20,"Pangenome"
2,17,118300710.4,20,"Pangenome"
2,18,118587520,20,"Pangenome"
2,19,118867443.2,20,"Pangenome"
2,20,118954867.2,20,"Pangenome"
2,21,119094976,20,"Pangenome"
2,22,119335756.8,20,"Pangenome"
2,23,119450611.2,20,"Pangenome"
2,24,119549785.6,20,"Pangenome"
2,25,119749696,20,"Pangenome"
2,26,119975820.8,20,"Pangenome"
2,27,120187302.4,20,"Pangenome"
2,28,120284467.2,20,"Pangenome"
2,29,120461683.2,20,"Pangenome"
2,30,120558361.6,20,"Pangenome"
2,31,120758272,20,"Pangenome"
2,32,120933708.8,20,"Pangenome"
2,33,121101120,20,"Pangenome"
2,34,121182016,20,"Pangenome"
2,35,121263718.4,20,"Pangenome"
2,36,121424128,20,"Pangenome"
2,37,121494208,20,"Pangenome"
2,38,121649536,20,"Pangenome"
2,39,121803699.2,20,"Pangenome"
2,40,121952140.8,20,"Pangenome"
2,41,122106086.4,20,"Pangenome"
2,42,122171161.6,20,"Pangenome"
2,43,122298086.4,20,"Pangenome"
2,44,122443545.6,20,"Pangenome"
2,45,122564825.6,20,"Pangenome"
2,46,122692812.8,20,"Pangenome"
2,47,122814464,20,"Pangenome"
2,48,122945497.6,20,"Pangenome"
2,49,123064332.8,20,"Pangenome"
2,50,123173222.4,20,"Pangenome"
2,51,123236441.6,20,"Pangenome"
2,52,123273497.6,20,"Pangenome"
2,53,123381120,20,"Pangenome"
2,54,123449676.8,20,"Pangenome"
2,55,123588620.8,20,"Pangenome"
2,56,123683660.8,20,"Pangenome"
3,1,109279078.4,20,"Pangenome"
3,2,111343820.8,20,"Pangenome"
3,3,112855385.6,20,"Pangenome"
3,4,113535193.6,20,"Pangenome"
