"delta","ngen","ordering","kval","dataset"
109313433.6,1,1,20,"Pangenome"
111830003.2,2,1,20,"Pangenome"
113090777.6,3,1,20,"Pangenome"
113801152,4,1,20,"Pangenome"
114292787.2,5,1,20,"Pangenome"
114721331.2,6,1,20,"Pangenome"
115351500.8,7,1,20,"Pangenome"
115642368,8,1,20,"Pangenome"
116049600,9,1,20,"Pangenome"
116241740.8,10,1,20,"Pangenome"
116635686.4,11,1,20,"Pangenome"
116824665.6,12,1,20,"Pangenome"
117258444.8,13,1,20,"Pangenome"
117411878.4,14,1,20,"Pangenome"
117776588.8,15,1,20,"Pangenome"
117915750.4,16,1,20,"Pangenome"
118230886.4,17,1,20,"Pangenome"
118365964.8,18,1,20,"Pangenome"
118650944,19,1,20,"Pangenome"
118927692.8,20,1,20,"Pangenome"
119041228.8,21,1,20,"Pangenome"
119149388.8,22,1,20,"Pangenome"
119390080,23,1,20,"Pangenome"
119641356.8,24,1,20,"Pangenome"
119735974.4,25,1,20,"Pangenome"
119960627.2,26,1,20,"Pangenome"
120168128,27,1,20,"Pangenome"
120380761.6,28,1,20,"Pangenome"
120568985.6,29,1,20,"Pangenome"
120746342.4,30,1,20,"Pangenome"
120922662.4,31,1,20,"Pangenome"
121074291.2,32,1,20,"Pangenome"
121213171.2,33,1,20,"Pangenome"
121306560,34,1,20,"Pangenome"
121477977.6,35,1,20,"Pangenome"
121623526.4,36,1,20,"Pangenome"
121754316.8,37,1,20,"Pangenome"
121893964.8,38,1,20,"Pangenome"
121967872,39,1,20,"Pangenome"
122100928,40,1,20,"Pangenome"
122230604.8,41,1,20,"Pangenome"
122377280,42,1,20,"Pangenome"
122467481.6,43,1,20,"Pangenome"
122529459.2,44,1,20,"Pangenome"
122590080,45,1,20,"Pangenome"
122710451.2,46,1,20,"Pangenome"
122837760,47,1,20,"Pangenome"
122955328,48,1,20,"Pangenome"
123027776,49,1,20,"Pangenome"
123118630.4,50,1,20,"Pangenome"
123195916.8,51,1,20,"Pangenome"
123312729.6,52,1,20,"Pangenome"
123429081.6,53,1,20,"Pangenome"
123464908.8,54,1,20,"Pangenome"
123570803.2,55,1,20,"Pangenome"
123683660.8,56,1,20,"Pangenome"
109295616,1,2,20,"Pangenome"
111817779.2,2,2,20,"Pangenome"
113044224,3,2,20,"Pangenome"
113757171.2,4,2,20,"Pangenome"
114261120,5,2,20,"Pangenome"
114894323.2,6,2,20,"Pangenome"
115214873.6,7,2,20,"Pangenome"
115761497.6,8,2,20,"Pangenome"
116258969.6,9,2,20,"Pangenome"
116698240,10,2,20,"Pangenome"
117090163.2,11,2,20,"Pangenome"
117412492.8,12,2,20,"Pangenome"
117736460.8,13,2,20,"Pangenome"
118048844.8,14,2,20,"Pangenome"
118222259.2,15,2,20,"Pangenome"
118497817.6,16,2,20,"Pangenome"
118619148.8,17,2,20,"Pangenome"
118859046.4,18,2,20,"Pangenome"
119083084.8,19,2,20,"Pangenome"
119226073.6,20,2,20,"Pangenome"
119452531.2,21,2,20,"Pangenome"
119566195.2,22,2,20,"Pangenome"
119682790.4,23,2,20,"Pangenome"
119886092.8,24,2,20,"Pangenome"
119973824,25,2,20,"Pangenome"
120079987.2,26,2,20,"Pangenome"
120202265.6,27,2,20,"Pangenome"
120422976,28,2,20,"Pangenome"
120529907.2,29,2,20,"Pangenome"
120698790.4,30,2,20,"Pangenome"
120805222.4,31,2,20,"Pangenome"
120954112,32,2,20,"Pangenome"
121040972.8,33,2,20,"Pangenome"
121178790.4,34,2,20,"Pangenome"
121352665.6,35,2,20,"Pangenome"
121441280,36,2,20,"Pangenome"
121592499.2,37,2,20,"Pangenome"
121749670.4,38,2,20,"Pangenome"
121888256,39,2,20,"Pangenome"
121966105.6,40,2,20,"Pangenome"
122032486.4,41,2,20,"Pangenome"
122175411.2,42,2,20,"Pangenome"
122252403.2,43,2,20,"Pangenome"
122308812.8,44,2,20,"Pangenome"
122459532.8,45,2,20,"Pangenome"
122587136,46,2,20,"Pangenome"
122727718.4,47,2,20,"Pangenome"
122854169.6,48,2,20,"Pangenome"
122978560,49,2,20,"Pangenome"
123098201.6,50,2,20,"Pangenome"
123221747.2,51,2,20,"Pangenome"
123283481.6,52,2,20,"Pangenome"
123350668.8,53,2,20,"Pangenome"
123461184,54,2,20,"Pangenome"
123566720,55,2,20,"Pangenome"
123683660.8,56,2,20,"Pangenome"
109306982.4,1,3,20,"Pangenome"
111620595.2,2,3,20,"Pangenome"
113019507.2,3,3,20,"Pangenome"
113985024,4,3,20,"Pangenome"
114530726.4,5,3,20,"Pangenome"
114886054.4,6,3,20,"Pangenome"
115449088,7,3,20,"Pangenome"
115975884.8,8,3,20,"Pangenome"
116259750.4,9,3,20,"Pangenome"
116690099.2,10,3,20,"Pangenome"
116894656,11,3,20,"Pangenome"
117282713.6,12,3,20,"Pangenome"
117626457.6,13,3,20,"Pangenome"
